Frame,Angle
0,"{'Flexão_Cab': 50.571411019619205, 'Flexão_Tro': 156.41195082549507, 'Rotação_Tro': 2.339357880099927}"
1,"{'Flexão_Cab': 53.516937792758554, 'Flexão_Tro': 159.06577115159882, 'Rotação_Tro': 1.8299898108497086}"
2,"{'Flexão_Cab': 53.4629397690624, 'Flexão_Tro': 159.42510277036365, 'Rotação_Tro': 1.9311448508400142}"
3,"{'Flexão_Cab': 53.2730054687421, 'Flexão_Tro': 158.85105049865763, 'Rotação_Tro': 2.2886544930629813}"
4,"{'Flexão_Cab': 53.41624743252183, 'Flexão_Tro': 159.13555318260433, 'Rotação_Tro': 2.2923190533958233}"
5,"{'Flexão_Cab': 52.567285208937164, 'Flexão_Tro': 158.85756829771873, 'Rotação_Tro': 2.3775775721439976}"
6,"{'Flexão_Cab': 50.283649754054636, 'Flexão_Tro': 156.5948483254667, 'Rotação_Tro': 2.018930848513622}"
7,"{'Flexão_Cab': 51.12853327987287, 'Flexão_Tro': 157.89526128168566, 'Rotação_Tro': 1.904878999013477}"
8,"{'Flexão_Cab': 51.92827447568021, 'Flexão_Tro': 157.74608704509527, 'Rotação_Tro': 2.213649958953801}"
9,"{'Flexão_Cab': 49.61420613718238, 'Flexão_Tro': 158.25719005261698, 'Rotação_Tro': 1.9697576927481422}"
10,"{'Flexão_Cab': 49.10611679180718, 'Flexão_Tro': 155.90710956762737, 'Rotação_Tro': 3.000694603512231}"
11,"{'Flexão_Cab': 49.45371681509829, 'Flexão_Tro': 155.3407154073486, 'Rotação_Tro': 2.725660558309386}"
12,"{'Flexão_Cab': 48.210025181488646, 'Flexão_Tro': 154.51611951068364, 'Rotação_Tro': 2.9118232731731624}"
13,"{'Flexão_Cab': 47.46413709538686, 'Flexão_Tro': 154.4212507188688, 'Rotação_Tro': 3.0515204228300346}"
14,"{'Flexão_Cab': 48.18038183671035, 'Flexão_Tro': 155.91467451563557, 'Rotação_Tro': 2.660326265107257}"
15,"{'Flexão_Cab': 48.0641709894081, 'Flexão_Tro': 158.40260068238072, 'Rotação_Tro': 2.6200635771388523}"
16,"{'Flexão_Cab': 48.05824074613594, 'Flexão_Tro': 157.45545595244866, 'Rotação_Tro': 1.5656335852972043}"
17,"{'Flexão_Cab': 47.06173714226111, 'Flexão_Tro': 155.55879221121364, 'Rotação_Tro': 2.0724238448220107}"
18,"{'Flexão_Cab': 47.24230849080726, 'Flexão_Tro': 155.85752852019277, 'Rotação_Tro': 1.9806633118785957}"
19,"{'Flexão_Cab': 47.17400545619233, 'Flexão_Tro': 154.328692399202, 'Rotação_Tro': 2.7325553136539313}"
20,"{'Flexão_Cab': 47.76705242382246, 'Flexão_Tro': 155.5359177852883, 'Rotação_Tro': 2.599184878006463}"
21,"{'Flexão_Cab': 47.35289098401168, 'Flexão_Tro': 156.49105056462224, 'Rotação_Tro': 2.1689509888557446}"
22,"{'Flexão_Cab': 44.482214799389, 'Flexão_Tro': 154.10434332631715, 'Rotação_Tro': 1.6849320776164405}"
23,"{'Flexão_Cab': 45.489322828903255, 'Flexão_Tro': 154.97066500594514, 'Rotação_Tro': 2.3610673145432526}"
24,"{'Flexão_Cab': 45.27591455721816, 'Flexão_Tro': 155.33431398993827, 'Rotação_Tro': 1.725694563633069}"
25,"{'Flexão_Cab': 44.51492904148486, 'Flexão_Tro': 153.81945473162583, 'Rotação_Tro': 3.344300865320006}"
26,"{'Flexão_Cab': 46.594804422700065, 'Flexão_Tro': 156.86170928440916, 'Rotação_Tro': 3.7104407410398785}"
27,"{'Flexão_Cab': 47.280477548400626, 'Flexão_Tro': 158.5902417180695, 'Rotação_Tro': 1.095595166753948}"
28,"{'Flexão_Cab': 48.67033667612233, 'Flexão_Tro': 159.37495952789266, 'Rotação_Tro': 0.8180512410755476}"
29,"{'Flexão_Cab': 49.09969747556116, 'Flexão_Tro': 160.3154666373037, 'Rotação_Tro': 1.0313093206662773}"
30,"{'Flexão_Cab': 46.472542947226344, 'Flexão_Tro': 157.74488613926707, 'Rotação_Tro': 3.228646125666429}"
31,"{'Flexão_Cab': 45.84806925206718, 'Flexão_Tro': 157.5054123192283, 'Rotação_Tro': 1.314019599246828}"
32,"{'Flexão_Cab': 45.71187915258477, 'Flexão_Tro': 155.40628683673458, 'Rotação_Tro': 3.2228229249159916}"
33,"{'Flexão_Cab': 45.29693304394132, 'Flexão_Tro': 156.60051766411846, 'Rotação_Tro': 1.6658985267409516}"
34,"{'Flexão_Cab': 45.60869297290691, 'Flexão_Tro': 156.22491958645216, 'Rotação_Tro': 1.2705874542483764}"
35,"{'Flexão_Cab': 45.2599836850041, 'Flexão_Tro': 155.36768587485693, 'Rotação_Tro': 1.5376684158896967}"
36,"{'Flexão_Cab': 44.908317906202115, 'Flexão_Tro': 155.79154025777189, 'Rotação_Tro': 1.3547567841318051}"
37,"{'Flexão_Cab': 44.51946604101053, 'Flexão_Tro': 155.53440224992994, 'Rotação_Tro': 1.6225582613669267}"
38,"{'Flexão_Cab': 44.02221494661583, 'Flexão_Tro': 154.82513786583996, 'Rotação_Tro': 1.692072768560256}"
39,"{'Flexão_Cab': 44.392110221393835, 'Flexão_Tro': 153.923910026183, 'Rotação_Tro': 1.0532208765354472}"
40,"{'Flexão_Cab': 43.417556246953495, 'Flexão_Tro': 152.1574394592708, 'Rotação_Tro': 1.2605999451354657}"
41,"{'Flexão_Cab': 43.768021673263064, 'Flexão_Tro': 154.1805669875977, 'Rotação_Tro': 2.032935131575697}"
42,"{'Flexão_Cab': 43.6762629913793, 'Flexão_Tro': 153.43204424758386, 'Rotação_Tro': 1.3486493079585626}"
43,"{'Flexão_Cab': 43.712660650487095, 'Flexão_Tro': 153.33091905943746, 'Rotação_Tro': 1.477348851863855}"
44,"{'Flexão_Cab': 43.72466388746622, 'Flexão_Tro': 153.94364193465663, 'Rotação_Tro': 1.2249267065605547}"
45,"{'Flexão_Cab': 43.86179260494626, 'Flexão_Tro': 154.85171870590537, 'Rotação_Tro': 1.5112340601203107}"
46,"{'Flexão_Cab': 46.555628472626154, 'Flexão_Tro': 157.12355577276918, 'Rotação_Tro': 0.6391641536011257}"
47,"{'Flexão_Cab': 45.80978046076868, 'Flexão_Tro': 154.01584646189642, 'Rotação_Tro': 2.4523070079999525}"
48,"{'Flexão_Cab': 46.5160694910588, 'Flexão_Tro': 156.2678387573246, 'Rotação_Tro': 0.12318354035744997}"
49,"{'Flexão_Cab': 46.675671872901205, 'Flexão_Tro': 157.6182310205077, 'Rotação_Tro': 0.2837620485507471}"
50,"{'Flexão_Cab': 46.13604670499183, 'Flexão_Tro': 155.56216151169414, 'Rotação_Tro': 0.5118513644932046}"
51,"{'Flexão_Cab': 45.67085812649191, 'Flexão_Tro': 157.06640875983086, 'Rotação_Tro': 0.5073952635865453}"
52,"{'Flexão_Cab': 44.80848223290238, 'Flexão_Tro': 155.66735520220044, 'Rotação_Tro': 0.3219309833328077}"
53,"{'Flexão_Cab': 46.9214010367817, 'Flexão_Tro': 157.34373334187873, 'Rotação_Tro': 1.2278039795241116}"
54,"{'Flexão_Cab': 47.885970186535644, 'Flexão_Tro': 158.55853541342702, 'Rotação_Tro': 1.2573060531717213}"
55,"{'Flexão_Cab': 47.033017443477036, 'Flexão_Tro': 157.84805115265203, 'Rotação_Tro': 0.269671809676085}"
56,"{'Flexão_Cab': 47.192879494534424, 'Flexão_Tro': 158.22419387964302, 'Rotação_Tro': 0.24112371115600867}"
57,"{'Flexão_Cab': 47.40850612509715, 'Flexão_Tro': 157.64673100561868, 'Rotação_Tro': 0.30108456428049235}"
58,"{'Flexão_Cab': 47.15536976751201, 'Flexão_Tro': 157.51559878645946, 'Rotação_Tro': 1.1338766174487502}"
59,"{'Flexão_Cab': 45.33364422556005, 'Flexão_Tro': 156.99969513449665, 'Rotação_Tro': 0.7817766663361247}"
60,"{'Flexão_Cab': 44.32709396042239, 'Flexão_Tro': 153.29832378971832, 'Rotação_Tro': 1.8196026644004586}"
61,"{'Flexão_Cab': 44.03864783746678, 'Flexão_Tro': 154.40382555788557, 'Rotação_Tro': 1.3757888490135797}"
62,"{'Flexão_Cab': 44.223165220529864, 'Flexão_Tro': 154.4486681474861, 'Rotação_Tro': 2.1209363374507326}"
63,"{'Flexão_Cab': 43.246295924697705, 'Flexão_Tro': 153.39443342651856, 'Rotação_Tro': 1.8546436949776888}"
64,"{'Flexão_Cab': 45.25727747245193, 'Flexão_Tro': 155.40093730257834, 'Rotação_Tro': 2.011574395757958}"
65,"{'Flexão_Cab': 45.625191846713335, 'Flexão_Tro': 154.42061902902975, 'Rotação_Tro': 2.217679527985514}"
66,"{'Flexão_Cab': 46.47371288234703, 'Flexão_Tro': 155.42464729262713, 'Rotação_Tro': 2.0642991991749944}"
67,"{'Flexão_Cab': 45.46184044832856, 'Flexão_Tro': 155.57277596798377, 'Rotação_Tro': 2.9545388347211854}"
68,"{'Flexão_Cab': 46.01921866234838, 'Flexão_Tro': 158.38846634923263, 'Rotação_Tro': 1.1791671873115475}"
69,"{'Flexão_Cab': 47.14182935823035, 'Flexão_Tro': 158.11542466647018, 'Rotação_Tro': 3.69909478672054}"
70,"{'Flexão_Cab': 46.83576696462916, 'Flexão_Tro': 158.27866014523963, 'Rotação_Tro': 4.188963183623693}"
71,"{'Flexão_Cab': 46.168228449471314, 'Flexão_Tro': 157.72455036495361, 'Rotação_Tro': 3.55819585469655}"
72,"{'Flexão_Cab': 44.78509781147747, 'Flexão_Tro': 154.1280673376846, 'Rotação_Tro': 4.094290551483437}"
73,"{'Flexão_Cab': 46.220846702837946, 'Flexão_Tro': 156.15099195268257, 'Rotação_Tro': 2.7136021880434806}"
74,"{'Flexão_Cab': 43.98874114573832, 'Flexão_Tro': 153.7891636640682, 'Rotação_Tro': 4.29333806010061}"
75,"{'Flexão_Cab': 43.562314682439734, 'Flexão_Tro': 151.80751089216636, 'Rotação_Tro': 4.036749312291687}"
76,"{'Flexão_Cab': 44.29837460118446, 'Flexão_Tro': 151.94643260933475, 'Rotação_Tro': 5.310972436734954}"
77,"{'Flexão_Cab': 45.79066343987947, 'Flexão_Tro': 155.28665718080043, 'Rotação_Tro': 5.988568620305686}"
78,"{'Flexão_Cab': 45.645661710267944, 'Flexão_Tro': 155.1113802203636, 'Rotação_Tro': 4.733600893931957}"
79,"{'Flexão_Cab': 44.603184357153594, 'Flexão_Tro': 152.8906659912822, 'Rotação_Tro': 4.764016260628599}"
80,"{'Flexão_Cab': 45.06600624605605, 'Flexão_Tro': 154.00494867738752, 'Rotação_Tro': 3.9078153935594235}"
81,"{'Flexão_Cab': 45.32621973731082, 'Flexão_Tro': 154.526432558291, 'Rotação_Tro': 2.9494420333724953}"
82,"{'Flexão_Cab': 45.872931645922336, 'Flexão_Tro': 154.49329099573865, 'Rotação_Tro': 3.4201854752343652}"
83,"{'Flexão_Cab': 45.617862036157135, 'Flexão_Tro': 154.0036978652912, 'Rotação_Tro': 2.4613588166674973}"
84,"{'Flexão_Cab': 45.56874025309608, 'Flexão_Tro': 153.63164648814447, 'Rotação_Tro': 1.3950684933170334}"
85,"{'Flexão_Cab': 45.76754464044038, 'Flexão_Tro': 153.28433417261783, 'Rotação_Tro': 1.9276941871230282}"
86,"{'Flexão_Cab': 46.1774473354474, 'Flexão_Tro': 154.41674067420382, 'Rotação_Tro': 5.791558381026217}"
87,"{'Flexão_Cab': 45.87554559930899, 'Flexão_Tro': 155.05844700600858, 'Rotação_Tro': 4.41243857498819}"
88,"{'Flexão_Cab': 45.466196693654695, 'Flexão_Tro': 154.52665838054662, 'Rotação_Tro': 5.235170370852206}"
89,"{'Flexão_Cab': 46.635132346869284, 'Flexão_Tro': 157.07601408963103, 'Rotação_Tro': 2.789333714603739}"
90,"{'Flexão_Cab': 45.83381830640093, 'Flexão_Tro': 157.25258984533622, 'Rotação_Tro': 1.0007722232089207}"
91,"{'Flexão_Cab': 45.35819870386996, 'Flexão_Tro': 154.74132680710258, 'Rotação_Tro': 3.688325744068519}"
92,"{'Flexão_Cab': 43.57751811789652, 'Flexão_Tro': 153.34699581065993, 'Rotação_Tro': 4.3264772110116}"
93,"{'Flexão_Cab': 43.497804398078415, 'Flexão_Tro': 154.0166572347072, 'Rotação_Tro': 3.35063447618143}"
94,"{'Flexão_Cab': 44.67175973961264, 'Flexão_Tro': 154.7189195568388, 'Rotação_Tro': 3.9036941130085547}"
