Frame,Angle
0,"{'Flexão_CotoveloD': 101.61407696107308, 'Flexão_CotoveloE': 121.4429535421879, 'Abdução_OmbroE': 172.0422929358455, 'Abdução_OmbroD': 146.1137409469179, 'Flexão_OmbroE': 117.1479854882071, 'Flexão_OmbroD': 63.049866272553714}"
1,"{'Flexão_CotoveloD': 106.67973021452286, 'Flexão_CotoveloE': 126.18433229195679, 'Abdução_OmbroE': 172.110070539475, 'Abdução_OmbroD': 144.91867357502852, 'Flexão_OmbroE': 117.81875845112143, 'Flexão_OmbroD': 63.12941807517336}"
2,"{'Flexão_CotoveloD': 93.73179665977523, 'Flexão_CotoveloE': 122.80470122415625, 'Abdução_OmbroE': 172.4533961966932, 'Abdução_OmbroD': 143.57575881650456, 'Flexão_OmbroE': 117.65407121993591, 'Flexão_OmbroD': 60.36631314330026}"
3,"{'Flexão_CotoveloD': 111.04756131249984, 'Flexão_CotoveloE': 127.93261053914004, 'Abdução_OmbroE': 172.56899360730182, 'Abdução_OmbroD': 144.46485137102218, 'Flexão_OmbroE': 117.54811260153988, 'Flexão_OmbroD': 63.503759984034915}"
4,"{'Flexão_CotoveloD': 119.5990404534336, 'Flexão_CotoveloE': 127.36382610573452, 'Abdução_OmbroE': 172.3154960314923, 'Abdução_OmbroD': 141.4484068018897, 'Flexão_OmbroE': 117.86288012499688, 'Flexão_OmbroD': 66.6340495734496}"
5,"{'Flexão_CotoveloD': 115.58825897898623, 'Flexão_CotoveloE': 127.26101714953485, 'Abdução_OmbroE': 172.60085676526296, 'Abdução_OmbroD': 143.2936524990717, 'Flexão_OmbroE': 117.13031987006639, 'Flexão_OmbroD': 66.08366570321103}"
6,"{'Flexão_CotoveloD': 92.92454551139846, 'Flexão_CotoveloE': 119.66600066986678, 'Abdução_OmbroE': 172.05838976460134, 'Abdução_OmbroD': 142.19442765351857, 'Flexão_OmbroE': 115.95567756864934, 'Flexão_OmbroD': 59.63724251620778}"
7,"{'Flexão_CotoveloD': 99.39263791610544, 'Flexão_CotoveloE': 122.58130208962542, 'Abdução_OmbroE': 172.97988672871907, 'Abdução_OmbroD': 145.04034126205465, 'Flexão_OmbroE': 116.81092750629641, 'Flexão_OmbroD': 61.69751399913591}"
8,"{'Flexão_CotoveloD': 100.78296694608137, 'Flexão_CotoveloE': 126.30318778330141, 'Abdução_OmbroE': 173.26110755129753, 'Abdução_OmbroD': 144.57819390037133, 'Flexão_OmbroE': 117.16739533136064, 'Flexão_OmbroD': 60.91285704109302}"
9,"{'Flexão_CotoveloD': 100.47360693132102, 'Flexão_CotoveloE': 126.39674347446001, 'Abdução_OmbroE': 173.08427954185993, 'Abdução_OmbroD': 144.4099760371326, 'Flexão_OmbroE': 117.33013134842643, 'Flexão_OmbroD': 60.404833768044455}"
10,"{'Flexão_CotoveloD': 99.14053214924931, 'Flexão_CotoveloE': 122.14442530900419, 'Abdução_OmbroE': 172.07472664457333, 'Abdução_OmbroD': 144.46292866569826, 'Flexão_OmbroE': 115.34597676438041, 'Flexão_OmbroD': 60.75387341472923}"
11,"{'Flexão_CotoveloD': 83.95032185909251, 'Flexão_CotoveloE': 121.81801578443982, 'Abdução_OmbroE': 172.93435310251468, 'Abdução_OmbroD': 139.6762579115308, 'Flexão_OmbroE': 115.85821196961273, 'Flexão_OmbroD': 58.91291187069042}"
12,"{'Flexão_CotoveloD': 78.66850362631298, 'Flexão_CotoveloE': 120.96418052139839, 'Abdução_OmbroE': 170.60544505845354, 'Abdução_OmbroD': 137.7056252330418, 'Flexão_OmbroE': 115.52551097252646, 'Flexão_OmbroD': 61.820079021403885}"
13,"{'Flexão_CotoveloD': 79.47476625840332, 'Flexão_CotoveloE': 119.77600158058068, 'Abdução_OmbroE': 172.16280151296823, 'Abdução_OmbroD': 138.7720588835652, 'Flexão_OmbroE': 115.13310289434801, 'Flexão_OmbroD': 66.17291468101908}"
14,"{'Flexão_CotoveloD': 73.09205606188482, 'Flexão_CotoveloE': 119.45816986798387, 'Abdução_OmbroE': 172.8753192091254, 'Abdução_OmbroD': 133.12867032659568, 'Flexão_OmbroE': 115.07093300386441, 'Flexão_OmbroD': 62.59934100613607}"
15,"{'Flexão_CotoveloD': 76.25265596485687, 'Flexão_CotoveloE': 123.11928832352515, 'Abdução_OmbroE': 173.23051603875737, 'Abdução_OmbroD': 139.7203120759998, 'Flexão_OmbroE': 115.15584130759547, 'Flexão_OmbroD': 64.62583718852234}"
16,"{'Flexão_CotoveloD': 75.26505290377992, 'Flexão_CotoveloE': 120.20530168732742, 'Abdução_OmbroE': 171.2061322565887, 'Abdução_OmbroD': 136.4858467912322, 'Flexão_OmbroE': 114.00143431528902, 'Flexão_OmbroD': 64.23868111769337}"
17,"{'Flexão_CotoveloD': 91.38587737978845, 'Flexão_CotoveloE': 119.18165791174937, 'Abdução_OmbroE': 171.29167438830868, 'Abdução_OmbroD': 145.34854230810845, 'Flexão_OmbroE': 113.08703040607224, 'Flexão_OmbroD': 60.509846860500275}"
18,"{'Flexão_CotoveloD': 79.89844752161716, 'Flexão_CotoveloE': 116.18048938617054, 'Abdução_OmbroE': 168.7614074715586, 'Abdução_OmbroD': 139.00515850565017, 'Flexão_OmbroE': 111.34428179279244, 'Flexão_OmbroD': 55.827283669864244}"
19,"{'Flexão_CotoveloD': 105.15058918405167, 'Flexão_CotoveloE': 120.69178616804578, 'Abdução_OmbroE': 173.22631891065672, 'Abdução_OmbroD': 143.7408133348323, 'Flexão_OmbroE': 111.79718533456243, 'Flexão_OmbroD': 65.01917459186427}"
20,"{'Flexão_CotoveloD': 99.15954516031019, 'Flexão_CotoveloE': 118.84997637491661, 'Abdução_OmbroE': 169.83080731001277, 'Abdução_OmbroD': 145.08789825695402, 'Flexão_OmbroE': 110.08444757873397, 'Flexão_OmbroD': 62.11759025843736}"
21,"{'Flexão_CotoveloD': 73.14822103234432, 'Flexão_CotoveloE': 113.93245988190331, 'Abdução_OmbroE': 163.79684080892025, 'Abdução_OmbroD': 133.382953045738, 'Flexão_OmbroE': 106.49980152719726, 'Flexão_OmbroD': 50.46378729063298}"
22,"{'Flexão_CotoveloD': 75.5628146767777, 'Flexão_CotoveloE': 111.0213997117258, 'Abdução_OmbroE': 162.65618438793805, 'Abdução_OmbroD': 137.7335351101978, 'Flexão_OmbroE': 105.20847972423418, 'Flexão_OmbroD': 54.30062602421526}"
23,"{'Flexão_CotoveloD': 74.54250436953777, 'Flexão_CotoveloE': 108.37057822886399, 'Abdução_OmbroE': 159.49975721487044, 'Abdução_OmbroD': 136.0689296157834, 'Flexão_OmbroE': 102.16038146555715, 'Flexão_OmbroD': 52.234055000323025}"
24,"{'Flexão_CotoveloD': 89.30772254653728, 'Flexão_CotoveloE': 107.59601495690345, 'Abdução_OmbroE': 161.74937605618922, 'Abdução_OmbroD': 143.5535911977253, 'Flexão_OmbroE': 101.63997392987939, 'Flexão_OmbroD': 59.28583124543415}"
25,"{'Flexão_CotoveloD': 86.5591631144821, 'Flexão_CotoveloE': 110.3344862024553, 'Abdução_OmbroE': 163.58231378617444, 'Abdução_OmbroD': 144.95962107243378, 'Flexão_OmbroE': 105.31630948958403, 'Flexão_OmbroD': 59.13236456513508}"
