Frame,Angle
0,"{'Flexão_CotoveloD': 101.61407696107308, 'Flexão_CotoveloE': 121.4429535421879, 'Abdução_OmbroE': 172.0422929358455, 'Abdução_OmbroD': 146.1137409469179, 'Flexão_OmbroE': 117.1479854882071, 'Flexão_OmbroD': 63.049866272553714}"
1,"{'Flexão_CotoveloD': 78.93861197229099, 'Flexão_CotoveloE': 124.54188822339253, 'Abdução_OmbroE': 171.25205359641166, 'Abdução_OmbroD': 138.11034333493768, 'Flexão_OmbroE': 117.99347534991955, 'Flexão_OmbroD': 60.238255049112}"
2,"{'Flexão_CotoveloD': 76.13144617257376, 'Flexão_CotoveloE': 124.35169417388035, 'Abdução_OmbroE': 170.92963132337346, 'Abdução_OmbroD': 136.60692702168103, 'Flexão_OmbroE': 118.02305064355642, 'Flexão_OmbroD': 60.73541329023131}"
3,"{'Flexão_CotoveloD': 74.53655404369471, 'Flexão_CotoveloE': 124.34195262280585, 'Abdução_OmbroE': 170.9156052447728, 'Abdução_OmbroD': 136.55947463683785, 'Flexão_OmbroE': 118.02910972879766, 'Flexão_OmbroD': 60.90359804595195}"
4,"{'Flexão_CotoveloD': 74.18378951278453, 'Flexão_CotoveloE': 124.37349429079393, 'Abdução_OmbroE': 171.17689718026287, 'Abdução_OmbroD': 136.31883462914305, 'Flexão_OmbroE': 117.99447210350763, 'Flexão_OmbroD': 60.62911903409369}"
5,"{'Flexão_CotoveloD': 75.2082828000101, 'Flexão_CotoveloE': 123.2297163679165, 'Abdução_OmbroE': 171.33135606924424, 'Abdução_OmbroD': 137.07677787047908, 'Flexão_OmbroE': 117.88880276172304, 'Flexão_OmbroD': 60.26519754257839}"
6,"{'Flexão_CotoveloD': 75.82771411790917, 'Flexão_CotoveloE': 123.28120006315001, 'Abdução_OmbroE': 171.60366710319843, 'Abdução_OmbroD': 137.70857049644133, 'Flexão_OmbroE': 117.78037393410177, 'Flexão_OmbroD': 60.523857036787305}"
7,"{'Flexão_CotoveloD': 75.54094640496452, 'Flexão_CotoveloE': 122.70366904300607, 'Abdução_OmbroE': 171.7446993918828, 'Abdução_OmbroD': 137.53954156898172, 'Flexão_OmbroE': 117.64428034436239, 'Flexão_OmbroD': 60.4156277454845}"
8,"{'Flexão_CotoveloD': 76.27744484063878, 'Flexão_CotoveloE': 122.72707583178176, 'Abdução_OmbroE': 171.86862932639272, 'Abdução_OmbroD': 137.82551467520432, 'Flexão_OmbroE': 117.57705224721082, 'Flexão_OmbroD': 60.36849236092222}"
9,"{'Flexão_CotoveloD': 77.55396365729139, 'Flexão_CotoveloE': 123.46867503118469, 'Abdução_OmbroE': 172.5587703897029, 'Abdução_OmbroD': 138.92872855026104, 'Flexão_OmbroE': 117.25528858698824, 'Flexão_OmbroD': 60.881807645562546}"
10,"{'Flexão_CotoveloD': 77.3680133994268, 'Flexão_CotoveloE': 124.19095824308819, 'Abdução_OmbroE': 173.06392712208014, 'Abdução_OmbroD': 139.8314202087684, 'Flexão_OmbroE': 116.81035167341892, 'Flexão_OmbroD': 61.72884951623716}"
11,"{'Flexão_CotoveloD': 78.38957751838656, 'Flexão_CotoveloE': 124.46883270658836, 'Abdução_OmbroE': 173.41222165919297, 'Abdução_OmbroD': 140.38275098568144, 'Flexão_OmbroE': 116.51524810854369, 'Flexão_OmbroD': 61.82679253065571}"
12,"{'Flexão_CotoveloD': 79.67867790338904, 'Flexão_CotoveloE': 126.97150795394353, 'Abdução_OmbroE': 174.58826965408971, 'Abdução_OmbroD': 142.82025997550738, 'Flexão_OmbroE': 115.84981177547762, 'Flexão_OmbroD': 62.613990343759056}"
13,"{'Flexão_CotoveloD': 80.19186761787286, 'Flexão_CotoveloE': 128.58587779449698, 'Abdução_OmbroE': 175.32327255929303, 'Abdução_OmbroD': 144.2557689457836, 'Flexão_OmbroE': 115.18964724522118, 'Flexão_OmbroD': 63.07656855435896}"
14,"{'Flexão_CotoveloD': 83.0907687250656, 'Flexão_CotoveloE': 129.4577284697473, 'Abdução_OmbroE': 175.9446364305931, 'Abdução_OmbroD': 145.38696801652543, 'Flexão_OmbroE': 114.73267745663333, 'Flexão_OmbroD': 62.83814401413642}"
15,"{'Flexão_CotoveloD': 82.58195533786086, 'Flexão_CotoveloE': 130.94994415680253, 'Abdução_OmbroE': 176.41412683123667, 'Abdução_OmbroD': 145.6679954825579, 'Flexão_OmbroE': 114.34106624107147, 'Flexão_OmbroD': 63.007078862217895}"
16,"{'Flexão_CotoveloD': 85.46308734397532, 'Flexão_CotoveloE': 129.83616831161896, 'Abdução_OmbroE': 176.5821326627138, 'Abdução_OmbroD': 146.67376208226176, 'Flexão_OmbroE': 114.26874714562543, 'Flexão_OmbroD': 62.81446779849895}"
17,"{'Flexão_CotoveloD': 87.65059477474695, 'Flexão_CotoveloE': 128.38995835331298, 'Abdução_OmbroE': 176.22463834152506, 'Abdução_OmbroD': 146.66640087943293, 'Flexão_OmbroE': 114.31727375504335, 'Flexão_OmbroD': 62.12729461818502}"
18,"{'Flexão_CotoveloD': 88.03575352584603, 'Flexão_CotoveloE': 125.1678991214726, 'Abdução_OmbroE': 174.25181584764587, 'Abdução_OmbroD': 146.78907154893568, 'Flexão_OmbroE': 113.84389179802072, 'Flexão_OmbroD': 61.84558295813521}"
19,"{'Flexão_CotoveloD': 85.9645979931666, 'Flexão_CotoveloE': 122.60243728110991, 'Abdução_OmbroE': 174.76402724679363, 'Abdução_OmbroD': 145.32265584912176, 'Flexão_OmbroE': 112.94513289787662, 'Flexão_OmbroD': 60.399921552937144}"
20,"{'Flexão_CotoveloD': 85.22456172674995, 'Flexão_CotoveloE': 119.0244031945162, 'Abdução_OmbroE': 172.30251446747613, 'Abdução_OmbroD': 144.42668773831443, 'Flexão_OmbroE': 111.30998524804662, 'Flexão_OmbroD': 59.49128072611583}"
21,"{'Flexão_CotoveloD': 85.91104040191216, 'Flexão_CotoveloE': 115.02249473736545, 'Abdução_OmbroE': 167.3861289203621, 'Abdução_OmbroD': 144.75015033995766, 'Flexão_OmbroE': 108.41137770865484, 'Flexão_OmbroD': 59.31571394435895}"
22,"{'Flexão_CotoveloD': 86.92347315798331, 'Flexão_CotoveloE': 112.86275143902292, 'Abdução_OmbroE': 165.40905476877617, 'Abdução_OmbroD': 144.95815245931928, 'Flexão_OmbroE': 106.42070911695924, 'Flexão_OmbroD': 59.858619433152825}"
23,"{'Flexão_CotoveloD': 85.64881242571524, 'Flexão_CotoveloE': 111.34494484680579, 'Abdução_OmbroE': 165.12170293512065, 'Abdução_OmbroD': 144.02228116462084, 'Flexão_OmbroE': 105.15714139778044, 'Flexão_OmbroD': 59.395718887878445}"
24,"{'Flexão_CotoveloD': 86.1394787464793, 'Flexão_CotoveloE': 109.05915169288755, 'Abdução_OmbroE': 162.60574647256158, 'Abdução_OmbroD': 144.1063855320022, 'Flexão_OmbroE': 104.18813591500674, 'Flexão_OmbroD': 59.75941902457417}"
25,"{'Flexão_CotoveloD': 85.42103054799249, 'Flexão_CotoveloE': 109.02064713729912, 'Abdução_OmbroE': 162.26030578373135, 'Abdução_OmbroD': 143.9686063005345, 'Flexão_OmbroE': 103.9203183569906, 'Flexão_OmbroD': 59.46335498419043}"
26,"{'Flexão_CotoveloD': 85.55398991501555, 'Flexão_CotoveloE': 108.60336615833035, 'Abdução_OmbroE': 162.16693144474002, 'Abdução_OmbroD': 143.93294775025697, 'Flexão_OmbroE': 103.43234467588802, 'Flexão_OmbroD': 59.62344417547284}"
27,"{'Flexão_CotoveloD': 84.94616900145448, 'Flexão_CotoveloE': 107.00751798619447, 'Abdução_OmbroE': 161.43946840666985, 'Abdução_OmbroD': 143.43688734054, 'Flexão_OmbroE': 102.18404010222083, 'Flexão_OmbroD': 59.379330202364514}"
